userName,score,at,content
Thole,5,2026-05-01 01:17:31,sangat bermanfaat dan membantu
marissa yovita,5,2026-04-30 14:42:55,good job
AXL 1205ES,5,2026-04-30 13:56:28,"aplikasi yang sangat berguna,👍🏼"
Andri Aritama,5,2026-04-30 12:29:33,Keren nih aplikasi... Bisa lihat status kepemilikan tanah dan sertifikat tanah.. sangat membantu sekali.
cuah mks,5,2026-04-30 12:15:02,mantap
Sutikno Sutikno,5,2026-04-30 09:17:58,good job team
AndangjiroTv,5,2026-04-30 08:20:36,"Alhamdulillah, Terimakasih respon cepatnya Sertifikat saya sudah sesuai baik pada aplikasi Sentuh Tanahku dan pada laman BHUMI, Bintang 5"
Razor Hyuga,1,2026-04-30 04:27:14,"capek udah daftar udah dpt email verifikasi dan terverifikasi giliran login belum terdaftar, mau heran tapi ini Indonesia"
Dedi Mulyadi,5,2026-04-30 02:52:20,bagus dapat mempermudah pelacakan berkas
Ilyas Ssos,5,2026-04-30 01:42:53,baguss
stefanus hariyanto,5,2026-04-30 01:09:19,sangat membantu
Pecinta Alam,5,2026-04-29 23:52:29,sangat bermanfaat
Bang Ujang,4,2026-04-29 23:22:42,membantu
Aris Sikac,5,2026-04-29 23:13:32,sangat bermanfaat dn memudahkan
Agus wakid romadlon,5,2026-04-29 22:39:59,"Sentuh tanahku, makin mantab, Selamat Sentuh Tananhku makin terdepan"
Amiruddin Amir,5,2026-04-29 21:36:58,puas dengan aplikasi ini sangat memudahkan
Azzam endut,5,2026-04-29 15:56:26,sangat membantu..
A Puad,5,2026-04-29 14:18:03,bagus memudahkan pengecekan pertanahan
m. kasim,5,2026-04-29 13:00:38,mempermudah masyarakat
Ruaida Malewa,5,2026-04-29 09:50:46,mantuuuul
Devan Dirgantara,4,2026-04-29 07:59:50,aplikasi bagus sayang pelayanan di lapangan sangat lambat apa mungkin harus pake sogokan ya
Dian Herdiana,5,2026-04-29 07:40:15,mantap lah
Agus Ropiq,5,2026-04-29 07:31:26,jadi mudah cek berkas
Agyt Eko setia m,5,2026-04-29 07:19:14,bagua
Eron Kristriaji,5,2026-04-29 05:18:19,aplikasi sangat membantu. Terima kasih
ZULKARNAIN,5,2026-04-29 03:36:49,Tolong saya lupa sandi mau reset tapi kode OTP gak ada masuk ni di email saya edit : Saya coba lagi besokannya bisa masuk OTPnya sekarang sudah bisa login lagi
M zainudin Grip,5,2026-04-29 03:16:47,sangat mudah dlm proses antrean ataupun cara pengisian data
Kurniawan Dwi prasetiyo,5,2026-04-29 02:17:56,sangat membantu dan mempermudah
yosep celeh,2,2026-04-29 01:33:32,tak sesuai ekpetasi
Aang Priyatna,5,2026-04-29 01:06:02,bermanfaat
Nanda Pradana,5,2026-04-28 23:29:20,aplikasi yang sangat membantu
Hasyim Adnan,5,2026-04-28 13:37:10,"sanagat bermanfaat bagi daerah yang sudah update, masih ad beberapa daerah yang masih belum update"
Arie Juwariyah,5,2026-04-28 12:44:16,Alhamdulillah byk dimudahkan terimakasih BPN
Akbar Ksatria,1,2026-04-28 11:29:44,"di update malah ngaco ni app, mau antri masa harus ngisi data terus"
Bambang Mistoyo,5,2026-04-28 09:06:56,okey
sinta,5,2026-04-28 08:50:52,"baru ini aplikasi pemerintahan keren bgt 🩷. Dibanding aplikasi pemerintahan lainnya, tau sendiri lah gimana😔"
Teuku Daut,5,2026-04-28 08:09:39,sangat membatu kami sebagai pendataan tana di desa kami
adi datahp,5,2026-04-28 06:53:37,good
Moksin Pattimura,5,2026-04-28 06:26:03,alhamdulillah sangat bagus dan memudahkan untuk cek. terima kasih atas pelayanan dan kemudahannya
sumianto anto,5,2026-04-28 06:09:11,sangat berguna praktis tdk ribet
Wahyu Ubaidillah,5,2026-04-28 05:12:11,sangat membantu 👍
Mulki Hasan,5,2026-04-28 05:01:06,sangat membantu
baidillah dillah,5,2026-04-28 04:48:13,sangat membantu sekali
Parlindungan Siregar,5,2026-04-28 04:09:23,ok
Ronnie Nurbiantoro,5,2026-04-28 02:58:51,"Bermanfaat sekali, sangat membantu arus dokumen sudah sejauh mana kita bisa mengetahui dan prakiraan selesai bisa diprediksi."
Ardin laugi,4,2026-04-28 01:40:35,"Aplikasinya bagus, hanya sj menu tanya berkasku hapus saja, jdi menghambat penyelesaian berkas yang ad.."
France Richie09,5,2026-04-28 01:02:15,bagus
Irvan Ismail,5,2026-04-28 00:33:00,👍🏻👍🏻👍🏻
Agus Supriyatna,5,2026-04-28 00:20:26,bagus terbantukan ga bolak balik ke BPN
Karna Alpinata,5,2026-04-27 23:56:42,sangat membantu
adi Setiawadi,4,2026-04-27 23:04:34,sangat membantu hanya lebih di tingkatkan lagi pelayanan kerjanya sejauh ini banyak perubahan lebih baik dari sebelum nya
Irsa Saepul,5,2026-04-27 22:42:59,bagus
Muhammad yasir Salihi,5,2026-04-27 21:34:59,good
Topx Mahesastudio,5,2026-04-27 17:27:16,good
Siti Makbulah,5,2026-04-27 14:05:43,aplikasi yang sangat bagus
Aris Kaili,1,2026-04-27 13:36:31,cari berkas lalot bgt . TDK bisa kebuka.
Rully Wibowo Arifin,5,2026-04-27 12:52:15,Membantu identifikasi tanah
Budi Budiman,5,2026-04-27 11:49:53,mudah menggunakannya
holip identifikasi,4,2026-04-27 11:22:58,sangat membantu dalam pengecekatn tanah ke akurasi nya samgat bagus
Adi Supriadi,5,2026-04-27 11:18:34,mudah digunakan aplikasinya.
Dewi Rubini,5,2026-04-27 10:34:23,mudah mencari data pertanyaan.
Anwari Property Rakyat,5,2026-04-27 10:19:11,bagus masyarakat semakin dipermudah update serrifikat
Uthe Irianto,5,2026-04-27 09:18:31,sangat membantu ...
Bagus Mahardika,5,2026-04-27 08:39:33,baru kali ini ada aplikasi pemerintah yg sangat bagus
